Δεδομένα για τον κλάδο του Εμπροίου και την Οικονομία,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Α.Α.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Αριθμός Επιχειρήσεων,2017,2018,2019,2020,2021,2022,,,,,,,,,,
1. ,Εμπόριο,"234,733","227,461","230,782","224,729","227,192","228,725",,"Μερίδο εμπορικών επιχειρήσεων στο σύνολο των επιχειρήσεων:  24,2%",,,,,,,,
,Σύνολο οικονομίας εκτός αγροτικού τομέα,"886,738","870,493","890,361","873,506","909,474","946,926",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Κύκλος Εργασιών (χιλ. €),2019,2020,2021,2022,2023,2024,,,,,,,,,,
2. ,Εμπόριο,"123,998,009","118,408,288","139,829,511","171,698,358","176,395,470","179,531,084",,"Μερίδιο κύκλου εργασιών εμπορικών επιχειρήσεων στο σύνολο της οικονομίας:  37,1%",,,,,,,,
,Σύνολο Οικονομίας,"310,289,265","279,688,050","341,965,556","472,517,899","465,241,177","484,461,030",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Αριθμός Απασχολουμένων (σε χιλ.),2020,2021,2022,2023,2024,2025,,,,,,,,,,
3. ,Εμπόριο,704.7,700.2,724.4,699.3,706.3,759.9,,"Ο μεγαλύτερος εργοδότης της χώρας:  17,3%",,,,,,,,
,Σύνολο Οικονομίας,"3,844.0","3,915.3","4,167.2","4,236.5","4,327.8","4,386.8",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Εργοδότες (σε χιλ.),2020,2021,2022,2023,2024,2025,,,,,,,,,,
4. ,Εμπόριο,80.2,93.4,90.6,79.3,86.2,87.0,,"Το  27,3%  των εργοδοτών της οικονομίας δραστηριοποιείται στο εμπόριο",,,,,,,,
,Σύνολο Οικονομίας,288.8,312.5,313.0,304.8,325.0,318.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Ακαθάριστη Προστιθέμενη Αξία (εκ. €),2018,2019,2020,2021,2022,2023,,,,,,,,,,
5.,Εμπόριο,"19,773","18,882","17,384","19,138","22,400","22,756",,"Το εμπόριο συνεισφέρει το  11,6%  του ΑΕΠ",,,,,,,,
,Σύνολο Οικονομίας,"156,635","160,733","147,236","161,015","183,409","196,528",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Μερίδιο απασχολουμένων γυναικών (%),2019,2020,2021,2022,2023,2024,,,,,,,,,,
,ΛΙΑΝΙΚΟ Εμπόριο,50.9%,51.0%,48.7%,50.2%,53.4%,55.3%,,Το εμπόριο προωθεί ενεργά και ουσιαστικά τη γυναικεία απασχόληση,,,,,,,,
,Σύνολο Οικονομίας,42.2%,42.4%,42.4%,42.3%,43.0%,43.3%,,,,,,,,,,
,,258336,260938,241994,249104,263247,291973,,,,,,,,,,
,,508009,511301,496398,496637,493145,528026,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1670788,1631520,1658283,1760799,1819968,1873580,,,,,,,,,,
,,3956424,3844034,3915269,4167240,4236525,4327830,,,,,,,,,,
